Name,layer,Catchment,COUNTYID,COUNTYCODE,COUNTYNAME,COUNTYENG
阿禮瀑布 Ali waterfall,waterfall,ailiao_north_river,T,10013,屏東縣,Pingtung County
阿禮大崩壁瀑布 Alidabeng Waterfall ,waterfall,ailiao_north_river,T,10013,屏東縣,Pingtung County
哈尤溪溫泉步道瀑布 Waterfall near HaYouXi Hostprings ,waterfall,ailiao_north_river,T,10013,屏東縣,Pingtung County
東港瀑布 DongGang Waterfall,waterfall,dong_gang_river,T,10013,屏東縣,Pingtung County
東港瀑布 2 DongGang Waterfall  2,waterfall,dong_gang_river,T,10013,屏東縣,Pingtung County
萬安瀑布 Wanan Waterfall ,waterfall,wanan_river,T,10013,屏東縣,Pingtung County
嶺腳瀑布 LingJiao Waterfall ,waterfall,lingjiao,F,65000,新北市,New Taipei City
雙龍瀑布大橋 Double Dragon Waterfall Bridge,waterfall,double_dragon,M,10008,南投縣,Nantou County
雙龍瀑布 Double Dragon Waterfall,waterfall,double_dragon,M,10008,南投縣,Nantou County
小半天瀑布 XiaoBanTian Waterfall ,waterfall,desing,M,10008,南投縣,Nantou County
徳興瀑布 Desing Waterfall ,waterfall,desing,M,10008,南投縣,Nantou County
徳興瀑布第二層 Desing Waterfall tier 2 ,waterfall,desing,M,10008,南投縣,Nantou County
鳳凰瀑布 FengHuang Waterfall ,waterfall,fenghuang_hua,U,10015,花蓮縣,Hualien County
蕓森瀑布 Yunsen Waterfall ,waterfall,yunsen,F,65000,新北市,New Taipei City
鐵木瀑布 Ironwood Waterfall,waterfall,ironwood,H,68000,桃園市,Taoyuan City
這本林道瀑布 Zhiben Forest Road Waterfall ,waterfall,baiyu,V,10014,臺東縣,Taitung County
大興瀑布 Dasing Waterfall ,waterfall,dasing,U,10015,花蓮縣,Hualien County
麻荖漏步道 彩虹瀑布 新港瀑布 Rainbow Waterfall on Malaolou Trail ,waterfall,rainbow,V,10014,臺東縣,Taitung County
羅山瀑布 Luoshan Waterfall ,waterfall,luoshan,U,10015,花蓮縣,Hualien County
彩虹橋瀑布 Rainbow Bridge Waterfall ,waterfall,yunsen,F,65000,新北市,New Taipei City
彩虹瀑布 Rainbow Waterfall ,waterfall,nantou_rainbow,M,10008,南投縣,Nantou County
白水泉瀑布 Baishuiyuan waterfall ,waterfall,baishuiyuan,E,64000,高雄市,Kaohsiung City
美雅谷瀑布 Meiya Valley Waterfall,waterfall,meiya,E,64000,高雄市,Kaohsiung City
水簾洞瀑布 Shuiliandong Waterfall ,waterfall,youling,H,68000,桃園市,Taoyuan City
幽靈瀑布 Youling Waterfall  (Spirit Waterfall),waterfall,youling,H,68000,桃園市,Taoyuan City
失魂瀑布 Lost Souls Waterfall  (Shihun Waterfall),waterfall,ailiao_north_river,T,10013,屏東縣,Pingtung County
茂林故瀑布 Maolin valley waterfall ,waterfall,maolin,E,64000,高雄市,Kaohsiung City
小錦屏瀑布友 Xiao Jinping Waterfall Right ,waterfall,xiaojinping,J,10004,新竹縣,Hsinchu County
鴛鴦谷瀑布 Yuanyang Valley Waterfall ,waterfall,yuanyang_valley,J,10004,新竹縣,Hsinchu County
青蛙石瀑布 Frog Rock Waterfall,waterfall,bilin,J,10004,新竹縣,Hsinchu County
新峰瀑布 Xinfeng Waterfall ,waterfall,xinfeng,G,10002,宜蘭縣,Yilan County
谷燕瀑布 Guyan Waterfall,waterfall,celestial,J,10004,新竹縣,Hsinchu County
小烏來瀑布 Xiaowulai Waterfall ,waterfall,xiaowulai,H,68000,桃園市,Taoyuan City
龍鳳瀑布 Longfeng Waterfall ,waterfall,xiaowulai,H,68000,桃園市,Taoyuan City
鬼斧谷瀑布 Ghost Ax Canyon Waterfall ,waterfall,ghost_ax,E,64000,高雄市,Kaohsiung City
鬼斧谷瀑布 Ghost Ax Canyon Waterfall ,waterfall,zhuokou_river,E,64000,高雄市,Kaohsiung City
大水沖瀑布 Dashuichong Waterfall ,waterfall,Dashuichong,T,10013,屏東縣,Pingtung County
大津瀑布 Dajin Waterfall ,waterfall,drumline_canyon_river,T,10013,屏東縣,Pingtung County
金峰瀑布 Jinfeng Waterfall ,waterfall,jinfeng,V,10014,臺東縣,Taitung County
白玉瀑布 Baiyu Waterfall ,waterfall,baiyu,V,10014,臺東縣,Taitung County
筆筒樹瀑布 Tree Fern Waterfall ,waterfall,baiyu,V,10014,臺東縣,Taitung County
龍泉瀑布 Longquan Waterfall,waterfall,longquan,V,10014,臺東縣,Taitung County
中溝瀑布 Trench Waterfall ,waterfall,trench,U,10015,花蓮縣,Hualien County
鐵份瀑布 Tiefen Waterfall ,waterfall,tiefen,U,10015,花蓮縣,Hualien County
猴洞坑瀑布 Houdongkeng Waterfall,waterfall,echo_valley,G,10002,宜蘭縣,Yilan County
五峰旗瀑布 2 Wufengchi Waterfalls 2 ,waterfall,yuenmeikeng,G,10002,宜蘭縣,Yilan County
五峰旗瀑布 1 Wufengchi Waterfalls 1    ,waterfall,yuenmeikeng,G,10002,宜蘭縣,Yilan County
馬里光瀑布 Maliguang Waterfall,waterfall,youling,J,10004,新竹縣,Hsinchu County
馬里科瀑布 Malike Waterfall ,waterfall,malike,J,10004,新竹縣,Hsinchu County
馬里科瀑布 Malike Waterfall ,waterfall,youling,J,10004,新竹縣,Hsinchu County
馬里科瀑布 Malike Waterfall ,waterfall,yufeng_river_spirit_pool,J,10004,新竹縣,Hsinchu County
龍鳳瀑布 Longfeng Waterfall ,waterfall,flag_lake_waterfall,P,10009,雲林縣,Yunlin County
靈泉騰蛟 Lingquan Tengjiao ,waterfall,flag_lake_waterfall,P,10009,雲林縣,Yunlin County
地久瀑布 Dijiu Waterfall ,waterfall,flag_lake_waterfall,P,10009,雲林縣,Yunlin County
蓬萊瀑布 Penglai Waterfall ,waterfall,penglai,P,10009,雲林縣,Yunlin County
水濂洞瀑布 Shuiliandong Waterfall ,waterfall,penglai,P,10009,雲林縣,Yunlin County
情人谷瀑布 Lover's Gorge Waterfall ,waterfall,shi_pan_gu_river,Q,10010,嘉義縣,Chiayi County
